iata,icao,name,aliases
VI,VDA,Volga-Dnepr Airlines,Russian cargo airline Volga-Dnepr|Volga Dnepr|Volga-Dnepr
PF,VDT,Vayudoot,
V4,VEC,Vensecar Internacional,Vensecar Internacional Compañia Anonima
VZ,VEL,Velvet Sky,
V4,VES,Vieques Air Link,
TV,VEX,Virgin Express,
0V,VFC,Vietnam Air Services Company,
6V,VGA,Air Vegas,
NJ,VGD,Vanguard Airlines,
E3,VGO,New Gen Airways,
VA,VIA,VIASA,JSC Venezuelan International Airways|Venezolana Internacional de Aviación S.A.|Venezolana Internacional de Aviación Sociedad Anónima
WR,VID,Aviaprad,
4P,VIK,Viking Airlines,
V6,VIL,VI Airlink,
VL,VIM,Air VIA,
VS,VIR,Virgin Atlantic,Virgin Sun Airlines|Virgin Atlantic Little Red|Virgin Atlantic Air|Virgin Atlantic Airline|Virgin Atlantic Airlines
MV,VIT,Aviastar,
VB,VIV,Viva,"Aeroenlaces Nacionales, S.A. de C.V.|Viva Aerobus|VivaAerobus"
V6,VIZ,Aerovis Airlines,
J7,VJA,ValuJet Airlines,
VJ,VJC,VietJet Air,VietJet|VietJet Airline|VietJet Airlines|VietJet Aviation Joint Stock Company
DK,VKG,Sunclass Airlines,Thomas Cook Airlines Scandinavia|Scanair
VQ,VKH,Fly Hellas,
V5,VKO,Vnukovo Airlines,
VE,VLE,Volare Airlines,Volare
VY,VLG,Vueling,Vueling Air|Vueling Airline|Vueling Airlines|Vueling Airlines S.A.
V5,VLI,Avolar,Avolar Aerolíneas
XF,VLK,Vladivostok Air,
VG,VLM,VLM Airlines,flämische Lufttransportgesellschaft|Vlaamse Luchttransportmaatschappij
LC,VLO,Varig Logística,Varig Logistica|VARIGLOG
VF,VLU,Valuair,
SJ,VND,Aviandina,
VN,VNE,Venezolana,RAVSA
JW,VNL,Vanilla Air,Vanilla Air Inc.
WB,VNR,Wan Air,
AO,VNV,Avianova,
L6,VNZ,TAM Air,TbilAviaMsheni
VM,VOA,Viaggio Air,
Q6,VOC,Volaris Costa Rica,
V7,VOE,Volotea,
Y4,VOI,Volaris,Volaris Air|Volaris Airline|Volaris Airlines
N3,VOS,Volaris El Salvador,
VA,VOZ,Virgin Australia,Virgin Australia Regional Airlines|Virgin Blue|Virgin Australia Air|Virgin Australia Airline|Virgin Australia Airlines Pty Ltd.
V5,VPA,Danube Wings,
VV,VPE,Viva Air Peru,VivaAir.com
VQ,VPP,Vintage Props and Jets,
VP,VQI,,VILLA AIR FLYME
VX,VRD,Virgin America,
HF,VRE,Air Côte d'Ivoire,
RG,VRG,Varig,VARIG – Viação Aérea Rio-Grandense S.A.|Varig Brasil|VARIG S.A.|Viação Aérea Rio-Grandense
VR,VRH,,Varesh Air
VP,VSP,VASP,Sao Paulo Air Ways|VASP Viação Aérea São Paulo|Viacao Aerea Sao Paulo S/A|Viação Aérea São Paulo S/A
DV,VSV,SCAT Airlines,PLL SCAT Air Company|Sunday Airlines
VT,VTA,Air Tahiti,
LF,VTE,Contour Airlines,Corporate Flight Management|Countour Aviation
UK,VTI,Vistara,
5V,VTS,Everts Air,Everts Air Cargo
TU,VTU,Turpial Airlines,
VU,VUN,Air Ivoire,Societe Nouvelle Air Ivoire|Société Nouvelle Air Ivoire
V6,VUR,VIP Ecuador,
6I,VVA,Aviast Air,
VH,VVC,Viva Air Colombia,Fast Colombia|Fast Colombia S.A.S.|Fast Colombia SAS|VivaColombia
ZG,VVM,Viva Macau,VIVA Macau Airlines
G2,VXG,Jet Express,
XP,VXP,Avelo Airlines,Avelo|Xtra Airways
FV,VXY,Südavia,
NB,VZL,Vzlet,
WV,WAA,Westair Aviation,
F4,WAF,Air Flamenco,
DJ,WAJ,,
K8,WAL,World Atlantic Airlines,
KW,WAN,Wataniya Airways,
WU,WAU,Wizz Air Ukraine,
4W,WAV,Warbelow's Air Ventures,
WQ,WAW,Wings Airways,
7W,WAY,,Wayraperu
5W,WAZ,Wizz Air Abu Dhabi,
3E,WBR,Air Choice One,Air Choice One Airlines
SP,WCC,Sky Pasada,
FE,WCP,Primaris Airlines,
YH,WCW,West Caribbean Airways,WCA
WH,WDL,WDL Aviation,Westdeutsche Luftwerbung
C8,WDY,Chicago Express Airlines,WINDY
W2,WEA,White Eagle Aviation,
WH,WEB,WebJet Linhas Aéreas,WebJet Linhas Aereas
WR,WEN,WestJet Encore,
2W,WFL,World2Fly,
KD,WGN,Western Global Airlines,
WI,WHT,White Airways,White Air|White Airline|White Airlines|White colored by you|White coloured by you
WM,WIA,Winair,Windward Islands Airways
WF,WIF,Widerøe,Wideroe|Widerøe Air|Widerøe Airline|Widerøe Flyveselskap|Widerøe’s Flyveselskap
WG,WIG,Wiggins Airways,
WS,WJA,WestJet,West Jet|West Jet Air|West Jet Airline|West Jet Airlines|WestJet Air|WestJet Airline
L4,WLB,Wings of Lebanon,
2W,WLC,Welcome Air,
W4,WMT,Wizz Air Malta,
WO,WOA,World Airways,
IW,WON,Wings Air,
3P,WPT,,
7W,WRC,Windrose Airlines,
8V,WRF,Wright Air Service,WRIGHT FLYER
FW,WRT,Wright Airlines,WRIGHT
WH,WSF,Westair Benin,Westair Bénin
WT,WSG,Wasaya Airways,
WU,WST,,WT|Western Air Limited
WO,WSW,Swoop,
FK,WTA,Africa West Airlines,Africa West
W7,WTJ,Whitejets,Whitejets Transportes Aéreos|Whitejets Transportes Aéreos Ltda.
W9,WUK,Wizz Air UK,
8Z,WVL,Wizz Air Bulgaria,
CN,WWD,Westward Airways,
EM,WWM,Wings West Airlines,Wings West
3J,WZP,Zip,
W6,WZZ,Wizz Air,Wizz Air Hungary|Wizz Air Hungary Airlines Ltd.
P2,XAK,Airkenya Express,
XN,XAR,Xpress Air,Xpressair
D7,XAX,AirAsia X,AirAsia X Berhad|AIRASIA X BERHAD|AirAsia X Bhd.
JN,XLA,XL Airways UK,XL Airways
SE,XLF,XL Airways France,
F2,XLK,Safarilink Aviation,
XM,XME,Australian air Express,Australian airExpress
FO,XPD,Expedition Airways,
7A,XRC,Express Air Cargo,
3Q,XYC,Aero Chasqui,
8O,YWZ,West Coast Air,WESTCOAST AIR
Y8,YZR,Suparna Airlines,Yangtze River Express
K8,ZAK,Zambia Skyways,
ZA,ZAS,ZAS Airline of Egypt,
3Z,ZAW,Zoom Airways,
ZJ,ZMA,Zambezi Airlines,
ZO,ZOA,Zoom Air,
