iata,icao,name,aliases
1T,RNX,1time Airline,NEXT TIME|1time|1Time|one time!
QQ,ROA,Reno Air,
9V,ROI,Avior Airlines,
N7,ROK,,
BQ,ROM,,"Aeromar Lineas Aereas Dominicanas|Aeromar Líneas Aéreas Dominicanas, S.A."
ON,RON,Nauru Airlines,Air Nauru|Our Airline
RO,ROT,,TAROM|TAROM Air
RV,ROU,Air Canada Rouge,
QN,ROY,Royal Aviation,
YX,RPA,Republic Airways,RW|BRICKYARD|Republic Airline
P5,RPB,Copa Airlines Colombia,Aero Republica|Aero República|Aero Republica S.A.|Aero República S.A.|Aero Republica SA|Aero República SA
RH,RPH,Republic Express Airlines,
R0,RPK,,
WZ,RRM,Acvila Air,
4A,RRN,Ararat International Airlines,
4A,RRY,Royal Bengal Airline,
YI,RSI,Air Sunshine,
SL,RSL,Rio Sul Serviços Aéreos Regionais,
ZC,RSN,Royal Eswatini National Airways,
E4,RSO,Aero Asia International,Aero Asia
BF,RSR,,Aero-Service|Aero Service
5L,RSU,AeroSur,"Compañía Boliviana de Transporte Aéreo Privado Aerosur, S.A."
H5,RSY,I-Fly,
ST,RTL,Air Thanlwin,Yangon Airways
7T,RTM,DHL Ecuador,TransAm|Aero Express del Ecuador - Trans A
5R,RUC,RUTACA Airlines,Rutas Aéreas Compañía Anónima
RK,RUK,Ryanair UK,
9T,RUN,Air ACT,ACT Airlines|ACT Airlines INC|ACT Havayollari A.S.|MyCargo Airlines
C9,RUS,Cirrus Airlines,Cirrus Airlines Luftfahrtgesellschaft mbH|Cirrus Technik
7H,RVF,Ravn Alaska,Era Alaska
DO,RVL,Air Vallée,
WV,RVP,,Sevenair
RV,RVV,Reeve Aleutian Airways,
RW,RWA,Aligiulia,
WB,RWD,RwandAir,RwandAir Limited|RwandAir Express|RwandAir S.A.R.L
WZ,RWZ,Red Wings Airlines,
ZL,RXA,Rex Airlines,Regional Express|Regional Express Airlines|REGIONAL EXPRESS HOLDINGS LIMITED|REX Regional Express
RX,RXI,Riyadh Air,Riyadh International Airlines
FN,RXP,Royal Air Maroc Express,
W2,RYJ,Ryjet,
V5,RYL,Royal Aruban Airlines,
RD,RYN,Ryan International Airlines,Russia Jet Direct
FR,RYR,Ryanair,
RR,RYS,,Ryanair Sun
RY,RYW,Royal Wings,Royal Wings Airline
Z9,RZL,Aero Zambia,
S4,RZO,Azores Airlines,Azores Air|SATA Internacional|SATA International
SA,SAA,South African Airways,
W7,SAH,Sayakhat Airlines,Sayakhat Air Company|Sayakhat
NL,SAI,Shaheen Air,
MM,SAM,SAM Colombia,Sociedad Aeronáutica de Medellín
WB,SAN,SAN Ecuador,
SK,SAS,Scandinavian Airlines,"SAS Scandinavian Airlines|Scandinavian Airlines System|Scandinavian Airlines System Denmark-Norway-Sweden|Scandinavian Airlines, SAS|SAS Snowflake|Snowflake"
SP,SAT,SATA Air Açores,SATA|SATA Air|SATA Air Acores|SATA Airlines
S1,SAU,Saurya Airlines,
ZU,SAV,Sunair,
6Q,SAW,Cham Wings Airlines,
SA,SAX,Sabah Air,Sabah Air Aviation
U3,SAY,Sky Gates Airlines,
S7,SBI,,"OJSC Siberia Airlines|PJSC Siberia Airlines|Siberia Airlines|ОАО ""Авиакомпания ""Сибирь"""
R6,SBK,Air Srpska,
Q7,SBM,SkyBahamas,Sky Bahamas|SkyBahamas Airlines|TROPICAL SKY
BB,SBS,Seaborne Airlines,
PV,SBU,St Barth Commuter,Saint Barth Commuter|St. Barth Commuter
ZM,SBZ,,
2E,SCB,Sky Cabs,
YR,SCE,Air Grand Canyon,Grand Canyon Scenic Airlines|Scenic Airlines
AW,SCH,CHC Airways,Schreiner Airways
TF,SCW,Braathens Regional Aviation,Malmö Aviation|Braathens Regional Aviation AB
SY,SCX,Sun Country Airlines,
DA,SDA,Sol Dominicana Airlines,
OY,SDE,Soder Airlines,Soder Aviation
FV,SDM,Rossiya,Rossiya Airlines|Rossiya Airlines Joint-Stock Company
EX,SDO,,
SR,SDR,Sundair,
GQ,SEH,,
SG,SEJ,SpiceJet,
ER,SEP,Serene Air,SereneAir
JR,SER,Aero California,
EH,SET,SAETA,
U5,SEU,SkyUp MT,
OW,SEW,Skyward Airlines,Skyward Express
HM,SEY,Air Seychelles,
CT,SFB,Air Sofia,
SF,SFI,Silverfly,
7G,SFJ,StarFlyer,Star Flyer Inc.
FA,SFR,Safair,FlySafair
4Q,SFW,Safi Airways,Safi Airways Co|Safi Airways Co.
XO,SGD,PUTANG INA KA Airways,Maris Arlanda Airways
5E,SGN,Nok Mini,SGA
6S,SGQ,Saudigulf,
PI,SGU,Sol del Paraguay,
H3,SGX,Saga Airlines,
N9,SHA,Shree Airlines,
6S,SHD,Sahara Airlines,
DO,SHH,,
IS,SHI,,
7Q,SHK,Shorouk Air,
F4,SHQ,Shanghai Airlines Cargo,
SL,SHR,Air Sylhet,Sylhet|Sylhet Airlines
5G,SHS,Shirak Avia,
HZ,SHU,Aurora,SAT Airlines
ZY,SHY,Sky Airlines,
SQ,SIA,Singapore Airlines,Singapore Airlines Group|Singapore Airlines Limited|Singapore Airlines Ltd.
5M,SIB,Sibaviatrans,
BM,SIC,Air Sicilia,
0S,SID,,Sideral Air Cargo
PF,SIF,AirSial,
SI,SIH,Skynet Airlines,Skynet
3M,SIL,Silver Airways,
SJ,SJM,Southern Air Transport,
IJ,SJO,Spring Airlines Japan,
UQ,SJU,,
JX,SJX,Starlux Airlines,"Starwalker|StarLux Airlines|STARLUX Airlines|STARLUX Airlines Co., Ltd."
SJ,SJY,Sriwijaya Air,
SX,SKB,Skybus Airlines,
GV,SKG,Sky Gabon,
RU,SKI,SkyKing Limited,SkyKing
KP,SKK,Asky Airlines,
Q6,SKP,SmartLynx Australia,Skytrans Airlines
XT,SKT,SkyStar Airways,
H2,SKU,Sky Airline,Sky Air
RS,SKV,Sky Regional Airlines,
OO,SKW,,United Express
H8,SKX,Sky Airline Peru,Sky Airline Perú|SKY Perú
BC,SKY,Skymark Airlines,
KI,SKZ,Skyway Enterprises,
LJ,SLA,Sierra National Airlines,
SO,SLC,Salsa d'Haiti,"Salsa d'Haïti|Services Aeriens Latinosamericains S.A.|Services Aeriens Latinosamericains, S.A.|Services Aeriens Latinosamericains, S.A. d'Haïti"
5D,SLI,Aeroméxico Connect,Aerolitoral|Aeromexico Connect
MI,SLK,SilkAir,Silk Air|Silk Air Limited|Silk Air Private Limited|SilkAir Limited|SilkAir Private Limited
6Q,SLL,Slovak Airlines,
PY,SLM,Surinam Airways,Surinam Air|Surinam Airline|Surinam Airway
5O,SLX,SETE Linhas Aéreas,SETE Linhas Aereas
M4,SME,Smart Aviation Company,
SM,SMI,Altair,Altair Linee Aeree|Altair (airline)
Z3,SMJ,Avient Aviation,AV AVIA|AV Cargo|AV Cargo Airlines
E8,SMK,Semeyavia,
SZ,SMR,Somon Air,
XM,SMX,Alitalia Express,
ZS,SMY,Sama,Sama Airlines|Sama LelTayaran Company Limited
RD,SNA,,
NB,SNB,Sterling Airlines,Sterling Airlines A/S
2Q,SNC,Air Cargo Carriers,
LT,SNG,LJ Air,LongJiang Airlines
6J,SNJ,Solaseed Air,Pan Asia Airlines|Skynet Asia Airways|Solar Seed Air
SL,SNK,Southeast Airlines,
SO,SNR,Sun Air,Sun Air (Sudan)
PL,SOA,Southern Air Charter,Southern Air Charters
IE,SOL,Solomon Airlines,
HH,SOM,Somali Airlines,
9S,SOO,,Southern Air Inc.
ZS,SOP,,
GO,SOR,Air Stord,
SO,SOU,Southern Airways,Southern AW
6W,SOV,Saratov Airlines,
SI,SPA,Sierra Pacific Airlines,Sierra Pacific
PJ,SPM,Air Saint-Pierre,
9G,SPQ,,
SQ,SQC,Singapore Airlines Cargo,SIA Cargo|Singapore Air Cargo
K5,SQH,SeaPort Airlines,"SeaPort Airlines, Inc.|Wings of Alaska"
PQ,SQP,SkyUp,
SI,SQS,Susi Air,
4V,SQY,,
FT,SRH,Siem Reap Airways International,"Siem Reap Airways|Siem Reap Airways International Co., Ltd"
